title_ID,title,volume,preview,cover_date,Genre_ID,pub_ID,creater_ID,character_ID,contributer_ID
567682,"'Til Death Do Us Part: To Love, Honor and Perish",one-shot,FALSE,2007,1263,805,152,6442,7837
567683,52 Omnibus,0,FALSE,Nov '12,1222,791,128,6389,7928
567684,A Very DC Halloween,0,FALSE,Oct '19,1233,839,191,6377,8157
567685,A Very DC Rebirth Holiday,0,FALSE,Nov '17,1232,861,174,6388,8108
567686,A Very DC Rebirth Holiday Sequel,0,FALSE,Nov '18,1228,851,210,6578,7819
567687,A Very DC Valentine's Day,TPB/SC,FALSE,Jan '19,1239,853,209,6500,7988
567688,Absolute All-Star Batman and Robin the Boy Wonder,0,FALSE,Jul '14,1226,790,212,6326,8152
567689,Absolute Authority,0,FALSE,Oct '17,1236,852,166,6587,7823
567690,Absolute Authority,0,FALSE,Jul '18,1268,843,166,6325,7901
567691,Absolute Batman: Black Mirror,0,FALSE,May '19,1226,860,216,6522,7779
567692,Absolute Batman: Dark Victory,0,FALSE,May '12,1260,861,160,6514,8112
567693,Absolute Batman: Haunted Knight,0,FALSE,Nov '14,1268,873,173,6573,8174
567694,Absolute Batman: Incorporated,0,FALSE,Dec '14,1252,810,123,6536,8015
567695,Absolute Batman: Killing Joke,0,FALSE,Sep '18,1270,842,144,6444,8058
567696,Absolute Batman: Long Halloween,0,FALSE,Apr '07,1259,804,167,6397,8078
567697,Absolute Batman: The Court of Owls,0,FALSE,Nov '15,1268,814,158,6593,7991
567698,Absolute Batman: Year One,0,FALSE,Nov '16,1227,840,204,6365,7830
567699,Absolute Blackest Night,0,FALSE,Jul '13,1263,850,130,6560,7778
567700,Absolute Dark Knight,0,FALSE,Aug '06,1271,867,163,6599,8079
567701,Absolute Dark Knight,HC,FALSE,Sep '20,1253,818,125,6349,7898
567702,Absolute Dark Knight III: Master Race,0,FALSE,Dec '19,1241,828,177,6561,7957
567703,Absolute Final Crisis,0,FALSE,Oct '12,1227,849,130,6529,8121
567704,Absolute Flashpoint,0,FALSE,Jan '19,1264,795,182,6469,7858
567705,Absolute Fourth World by Jack Kirby,0,FALSE,May '20,1261,790,187,6389,8136
567706,Absolute Green Lantern / Green Arrow,0,FALSE,Dec '15,1245,838,147,6352,7975
567707,Absolute Green Lantern: Rebirth,0,FALSE,Apr '10,1269,844,205,6350,8144
567708,Absolute Green Lantern: Sinestro Corps War,0,FALSE,Sep '12,1224,810,222,6482,7820
567709,Absolute Identity Crisis,0,FALSE,Oct '11,1234,839,199,6401,8049
567710,Absolute Infinite Crisis,0,FALSE,Dec '16,1259,852,214,6501,7862
567711,Absolute Joker / Luthor,0,FALSE,Oct '13,1239,808,146,6545,8026
567712,Absolute Justice,0,FALSE,Nov '09,1225,820,220,6536,7944
567713,Absolute Justice League: Origin,0,FALSE,Sep '17,1221,799,125,6391,7947
567714,Absolute Justice League: World's Greatest Super-Heroes,0,FALSE,Sep '05,1268,847,154,6327,7935
567715,Absolute Ronin,0,FALSE,Sep '08,1258,845,157,6564,7884
567716,Absolute Superman: For Tomorrow,0,FALSE,May '09,1233,865,182,6609,7999
567717,Absolute Top Ten,0,FALSE,Apr '13,1251,845,173,6381,7985
567718,Absolute WildC.A.T.s by Jim Lee,0,FALSE,Mar '18,1223,801,150,6615,7850
567719,Absolute WildC.A.T.s by Jim Lee,HC,FALSE,Mar '18,1265,808,204,6455,7808
567720,Accountant,one-shot,FALSE,Jul '16,1261,802,145,6551,7822
567721,Across the Universe: DC Universe Stories of Alan Moore,0,FALSE,2003,1237,796,222,6439,8007
567722,Action Comics #1000 Deluxe Edition,0,FALSE,Oct '18,1236,861,172,6407,7834
567723,Action Comics: 80 Years of Superman,0,FALSE,Apr '18,1267,852,172,6397,8116
567724,Action Comics: Vigilante Souvenir Edition,one-shot,FALSE,Dec '46,1248,801,216,6539,7942
567725,Action Funnies,one-shot,FALSE,1937,1268,791,155,6330,8078
567726,Adam Strange Special,one-shot,FALSE,Nov '08,1235,860,148,6437,8159
567727,Adam Strange: Silver Age Omnibus,0,FALSE,Jul '17,1222,809,153,6481,7826
567728,Adventure Comics: 80-Page Giant,one-shot,FALSE,Oct '98,1247,837,203,6434,7889
567729,Adventures of Superman by George Perez,0,FALSE,May '20,1263,849,197,6399,7888
567730,Adventures of Superman by Gil Kane,0,FALSE,Jan '13,1245,799,190,6613,8069
567731,Adventures of Superman: Py-Co-Pay Giveaway,one-shot,FALSE,1942,1262,807,135,6394,8177
567732,Agent Liberty Special,one-shot,FALSE,Jan '92,1223,818,128,6382,7811
567733,Alganon,one-shot,FALSE,Jul '11,1247,794,124,6458,7804
567734,Alien Nation,one-shot,FALSE,Dec '88,1264,790,146,6616,7778
567735,All-Star Comics: Only Legends Live Forever,0,FALSE,Oct '19,1229,809,154,6365,8144
567736,Amazing World of Superman,one-shot,FALSE,1973,1266,848,192,6592,8015
