rating_ID,rating,customer_ID,title_ID
4356,4,23582,568793
4357,4,23563,568834
4358,4,23358,569279
4359,5,23247,567994
4360,1,23194,570140
4361,2,23319,567827
4362,5,23375,567734
4363,4,23227,569729
4364,2,23610,570465
4365,5,23558,570698
4366,3,23577,569837
4367,1,23309,570485
4368,1,23226,569533
4369,1,23580,568431
4370,3,23377,569325
4371,1,23220,568750
4372,4,23353,570227
4373,3,23114,568331
4374,2,23383,567984
4375,1,23429,570399
4376,2,23229,568072
4377,5,23533,569503
4378,2,23281,569365
4379,4,23421,570243
4380,1,23326,570512
4381,5,23409,568069
4382,2,23558,568533
4383,2,23437,570608
4384,4,23510,568483
4385,4,23448,570021
4386,1,23634,568520
4387,5,23531,569423
4388,2,23598,568184
4389,2,23151,568541
4390,3,23234,569314
4391,4,23449,568599
4392,5,23238,567821
4393,4,23563,569757
4394,4,23351,567829
4395,4,23301,570731
4396,4,23400,569451
4397,4,23399,570032
4398,3,23475,568757
4399,2,23118,570607
4400,3,23152,569619
4401,3,23394,568360
4402,3,23531,569184
4403,4,23365,569461
4404,2,23488,570590
4405,4,23264,567841
4406,4,23241,570862
4407,5,23683,568415
4408,4,23405,570504
4409,5,23192,570461
4410,2,23489,569250
4411,1,23162,568341
4412,4,23216,567792
4413,3,23475,569615
4414,3,23264,570529
4415,3,23691,569633
4416,4,23129,567854
4417,1,23353,569857
4418,5,23127,570488
4419,4,23200,570707
4420,5,23606,567953
4421,1,23531,569590
4422,5,23527,570520
4423,4,23216,568571
4424,2,23595,567904
4425,1,23503,570221
4426,2,23345,568970
4427,1,23234,569457
4428,5,23692,568955
4429,1,23361,569253
4430,4,23480,567883
4431,4,23677,569118
4432,1,23471,568321
4433,2,23388,569880
4434,5,23354,569640
4435,4,23513,570843
4436,2,23690,570222
4437,3,23697,569609
4438,5,23481,569123
4439,1,23228,570088
4440,2,23231,570850
4441,1,23107,569656
4442,3,23601,570391
4443,2,23206,568046
4444,5,23419,569810
4445,1,23411,569614
4446,1,23146,570347
4447,3,23253,569998
4448,4,23349,569016
4449,5,23336,569300
4450,2,23304,570146
4451,1,23560,570831
4452,5,23449,570423
4453,4,23108,570779
4454,5,23301,568836
4455,2,23362,570048
4456,1,23442,568057
4457,3,23435,570729
4458,3,23123,568215
4459,4,23519,570808
4460,2,23493,569125
4461,1,23523,570138
4462,1,23481,569162
4463,5,23117,567797
4464,3,23518,569681
4465,5,23672,567910
4466,1,23197,568501
4467,4,23674,567755
4468,3,23319,569561
4469,5,23532,568099
4470,5,23362,567843
4471,5,23254,568839
4472,1,23465,569275
4473,1,23630,568370
4474,5,23519,569942
4475,3,23247,569392
4476,5,23490,568030
4477,3,23551,568715
4478,2,23210,570173
4479,5,23178,567689
4480,1,23609,570456
4481,3,23505,568251
4482,2,23590,568356
4483,5,23131,569188
4484,2,23609,569213
4485,5,23536,568229
4486,3,23150,569110
4487,5,23601,567830
4488,3,23670,569659
4489,4,23321,567973
4490,1,23275,568699
4491,2,23202,568050
4492,5,23128,568322
4493,3,23684,567697
4494,2,23178,567797
4495,3,23106,569632
4496,5,23615,569251
4497,4,23224,569196
4498,3,23294,569944
4499,5,23188,570409
4500,2,23375,570109
4501,3,23285,569851
4502,1,23423,570336
4503,4,23427,568192
4504,2,23425,567951
4505,4,23574,568156
4506,5,23526,570405
4507,5,23652,568343
4508,3,23679,569092
4509,3,23218,569924
4510,3,23439,569093
4511,5,23334,569904
4512,1,23478,567956
4513,5,23241,569379
4514,3,23374,570291
4515,3,23619,569010
4516,2,23147,568591
4517,1,23470,568817
4518,5,23470,569438
4519,4,23158,568914
4520,1,23608,570054
4521,2,23115,570488
4522,2,23268,570104
4523,1,23156,569586
4524,1,23407,570841
4525,3,23457,569543
4526,3,23570,568496
4527,3,23502,568034
4528,5,23530,570504
4529,3,23554,570821
4530,4,23500,570534
4531,4,23173,570584
4532,1,23114,569541
4533,1,23326,570014
4534,3,23255,569062
4535,2,23218,569103
4536,3,23644,570799
4537,3,23322,570479
4538,1,23409,568853
4539,3,23272,569067
4540,2,23467,568810
4541,5,23339,568551
4542,5,23406,569771
4543,4,23402,570182
4544,5,23521,570102
4545,2,23503,567703
4546,4,23351,568901
4547,1,23166,570751
4548,5,23642,570749
4549,2,23341,569815
4550,3,23700,569564
4551,2,23492,570259
4552,2,23104,568431
4553,3,23454,569264
4554,4,23451,567890
4555,4,23253,568268
4556,4,23641,569091
4557,1,23275,569161
4558,1,23357,568963
4559,3,23121,568894
4560,4,23623,569590
4561,1,23109,569923
4562,2,23478,569042
4563,4,23520,569462
4564,5,23149,568286
4565,2,23556,568086
4566,3,23473,570732
4567,5,23301,568705
4568,1,23678,567937
4569,2,23330,569714
4570,1,23692,570509
4571,4,23420,568269
4572,4,23463,570608
4573,3,23696,567935
4574,5,23212,569955
4575,4,23455,570062
4576,1,23400,568205
4577,3,23317,568865
4578,3,23224,568819
4579,2,23481,568683
4580,2,23545,568184
4581,1,23378,568008
4582,4,23208,568468
4583,1,23279,569321
